id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,location_x,location_y,team_id,player_id,shot_bodyPart_head_or_other,assist_type_long_pass,direct_free_kick,assist_type_through_pass,shot_distance,shot_angle,shot_xg
2397096588,5589020,1H,33,55,00:33:55.513,2036.51316,79,69,2445,584765,0,0,0,0,43.60045871318328,14.42077312751099,0.01
2397096602,5589020,1H,34,39,00:34:39.281,2080.281708,89,41,2445,391740,0,0,0,0,17.46424919657298,52.1250163489018,0.1137
2397096416,5589020,1H,35,43,00:35:43.191,2144.191347,54,59,6408,536902,0,0,0,0,56.79788728465171,16.272096733776944,0.006862
2397096752,5589020,1H,44,38,00:44:38.149,2679.149061,89,39,2445,532559,0,0,0,0,16.76305461424021,55.22216863363612,0.02001
2397096795,5589020,2H,45,26,00:45:26.224,2806.224969,92,32,2445,352328,0,0,0,1,13.152946437965905,68.5371140752802,0.06098
2397096987,5589020,2H,52,55,00:52:55.171,3255.171483,89,52,2445,584765,0,0,0,0,24.08318915758459,29.99157850015586,0.337
2397097016,5589020,2H,58,20,00:58:20.392,3580.392468,91,48,2445,391740,1,0,0,0,19.79898987322333,39.01748307414253,0.02837
2397097033,5589020,2H,60,54,01:00:54.883,3734.883753,82,38,2445,448127,0,0,0,0,23.345235059857504,41.740662731138144,0.06247
2397097475,5589020,2H,62,46,01:02:46.890,3846.890108,88,27,2445,584765,0,0,0,0,18.384776310850235,49.974132218828544,0.00618
2397097105,5589020,2H,65,56,01:05:56.476,4036.476526,97,56,2445,503185,0,0,0,0,23.40939982143925,17.13720814618302,0.6113
2397097150,5589020,2H,69,27,01:09:27.116,4247.116081,92,55,2445,352328,1,0,0,0,24.698178070456937,23.861917233893127,0.1572
2397097302,5589020,2H,75,4,01:15:04.025,4584.025885,73,49,2445,497350,0,0,0,0,35.34119409414458,26.250242369688888,0.01627
2397097131,5589020,2H,81,46,01:21:46.053,4986.053746,89,32,6408,559712,0,0,0,0,16.1245154965971,58.13790071832522,0.1031
2397097443,5589020,2H,91,14,01:31:14.149,5554.149563,85,39,2445,352328,0,1,0,0,20.615528128088304,46.30195267257888,0.0917
2397097356,5589020,2H,93,21,01:33:21.603,5681.603456,86,68,6408,341070,0,0,0,0,38.948684188300895,13.396093798402946,0.02402
2478024074,5589336,1H,6,24,00:06:24.358,385.358349,80,63,3766,817448,0,0,0,0,38.28837943815329,17.999484399432912,0.07378
2478024295,5589336,1H,13,48,00:13:48.832,829.832956,89,36,3766,563391,0,0,0,0,16.1245154965971,58.13790071832522,0.1648
2478024196,5589336,1H,15,42,00:15:42.595,943.595704,90,57,11565,277597,1,0,0,0,27.459060435491963,21.86009912473741,0.1058
2478024381,5589336,1H,21,18,00:21:18.593,1279.593019,82,46,3766,563391,0,0,0,0,25.942243542145693,34.96602982632769,0.01399
2478024389,5589336,1H,21,37,00:21:37.569,1298.569381,70,64,3766,209091,0,0,0,0,46.09772228646444,17.13030152684359,0.03365
2478024548,5589336,1H,27,21,00:27:21.819,1642.819825,97,57,11565,444594,1,0,0,0,24.351591323771842,15.708637829015744,0.1791
2478024499,5589336,1H,33,17,00:33:17.740,1998.740742,87,48,11565,84267,0,0,0,0,22.80350850198276,36.428846471419654,0.08615
2478024513,5589336,1H,33,19,00:33:19.741,2000.741426,83,49,11565,277597,0,0,0,0,26.627053911388696,32.23443421894138,0.1442
2478024785,5589336,1H,36,8,00:36:08.442,2169.442056,80,56,3766,817448,0,0,0,0,33.301651610693426,23.641071940008274,0.04715
2478025660,5589336,1H,36,10,00:36:10.471,2171.471296,87,55,3766,817448,0,0,0,0,27.65863337187866,25.346175941946697,0.2006
2478024810,5589336,1H,36,47,00:36:47.502,2208.502652,90,51,3766,817448,0,0,0,0,22.67156809750927,31.945873695297713,0.3481
2478024954,5589336,1H,41,30,00:41:30.152,2491.152514,91,35,3766,563391,0,0,0,0,14.035668847618199,65.2825590889166,0.1358
